sift false_datas: 1748
sift false_datas 0527: 751
epoch_num:266
================= QA_dirt =================
skip false data: 0
load imgs:(5518, 3, 224, 224), (5518,)
True:4212, False:1306
Loading model from /data/workspace/git_research/lsnet/checkpoints/lsnet_t/2025_11_11_01_02_26/checkpoint_0.pth
Creating model: lsnet_t
<All keys matched successfully>

th: 0.30 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.31 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.32 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.33 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.34 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.35 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.36 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.37 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.38 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.39 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.40 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.41 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.42 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.43 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.44 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.45 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.46 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.47 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.48 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.49 QA_dirt T_R:100.000 M_R:50.000 F_R:0.000
th: 0.50 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.51 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.52 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.53 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.54 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.55 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.56 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.57 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.58 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.59 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.60 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.61 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.62 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.63 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.64 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.65 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.66 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.67 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.68 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.69 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.70 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.71 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.72 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.73 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.74 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
th: 0.75 QA_dirt T_R:0.000 M_R:50.000 F_R:100.000
